set,context,dep_gene,tested,replicated,result
primary,MUT_DAM:ATXN2L,HDAC1,True,False,"{""n_pos"": 5, ""n_neg"": 116, ""median_pos"": 0.22644947542794036, ""median_neg"": 0.4949386979125824, ""p"": 0.18822698696713017, ""u"": 220.0, ""p3"": {""disjoint"": {""n_pos"": 3, ""n_neg"": 25, ""median_pos"": 0.19940683071504703, ""median_neg"": 0.49811597236759475, ""p"": 0.05311355311355312}}}"
primary,MUT_DAM:EP300,CREBBP,True,False,"{""n_pos"": 11, ""n_neg"": 110, ""median_pos"": 0.4450271536577574, ""median_neg"": 0.5731263204714778, ""p"": 0.13082439127181184, ""u"": 480.0, ""p3"": {""same_line"": {""n_pos"": 6, ""n_neg"": 87, ""median_pos"": 0.6080654275331729, ""median_neg"": 0.5779798653985205, ""p"": 0.5755767914788985}, ""disjoint"": {""n_pos"": 5, ""n_neg"": 23, ""median_pos"": 0.0815004262574595, ""median_neg"": 0.4661892338001171, ""p"": 0.046886446886446886}}}"
primary,MUT_DAM:MYH9,UQCC2,True,False,"{""n_pos"": 3, ""n_neg"": 118, ""median_pos"": 0.3299082974256988, ""median_neg"": 0.2960735360871539, ""p"": 0.8002395999722202, ""u"": 229.0, ""p3"": {}}"
primary,DEL:LILRA6,EIF1AX,True,True,"{""n_pos"": 16, ""n_neg"": 46, ""median_pos"": 0.016809950099518214, ""median_neg"": 0.13290744595801446, ""p"": 0.03273841188257947, ""u"": 253.0, ""p3"": {""same_line"": {""n_pos"": 14, ""n_neg"": 28, ""median_pos"": 0.016809950099518214, ""median_neg"": 0.2488287007791114, ""p"": 0.005415546741564858}}}"
primary,MUT_DAM:SMARCA4,RAB6A,True,False,"{""n_pos"": 4, ""n_neg"": 109, ""median_pos"": 0.28901352222025495, ""median_neg"": 0.4225854541582366, ""p"": 0.3736428245277803, ""u"": 196.0, ""p3"": {""same_line"": {""n_pos"": 3, ""n_neg"": 86, ""median_pos"": 0.2622898826514431, ""median_neg"": 0.5016287643745008, ""p"": 0.3374044591595927}}}"
primary,MUT_DAM:ESRP1,SATB2,True,False,"{""n_pos"": 3, ""n_neg"": 114, ""median_pos"": 0.1462269362501381, ""median_neg"": 0.503012104745882, ""p"": 0.16025064390881485, ""u"": 111.0, ""p3"": {}}"
primary,MUT_DAM:SEC31A,MRPL53,True,False,"{""n_pos"": 3, ""n_neg"": 117, ""median_pos"": 0.2438945270865193, ""median_neg"": 0.04096357500290934, ""p"": 0.9638726677111522, ""u"": 282.0, ""p3"": {""disjoint"": {""n_pos"": 3, ""n_neg"": 24, ""median_pos"": 0.2438945270865193, ""median_neg"": 0.047958267893201706, ""p"": 0.9651282051282051}}}"
primary,DEL:LRP1B,TAPT1,True,True,"{""n_pos"": 6, ""n_neg"": 88, ""median_pos"": 0.10950910613355663, ""median_neg"": 0.6667328642759873, ""p"": 0.00010702678148115317, ""u"": 49.0, ""p3"": {""disjoint"": {""n_pos"": 4, ""n_neg"": 20, ""median_pos"": 0.09176784592840695, ""median_neg"": 0.5878534249071652, ""p"": 9.410878976096367e-05}}}"
primary,MUT_DAM:ASXL1,RCOR1,True,True,"{""n_pos"": 22, ""n_neg"": 99, ""median_pos"": 0.24030044531375638, ""median_neg"": 0.5751695763371512, ""p"": 0.003629559408369909, ""u"": 689.0, ""p3"": {""same_line"": {""n_pos"": 18, ""n_neg"": 75, ""median_pos"": 0.18165496120661428, ""median_neg"": 0.5940777624748385, ""p"": 0.002832447861213573}, ""disjoint"": {""n_pos"": 4, ""n_neg"": 24, ""median_pos"": 0.3446098101240652, ""median_neg"": 0.3621421792592696, ""p"": 0.363956043956044}}}"
primary,EXPR_LOW:ATP6V0E2,ATP6V0E1,False,False,"{""n_pos"": 2, ""n_neg"": 115}"
